"key","de"
"index.tit1_0"," #{layout.BREAK}#{layout.BREAK} Demonstration der Zofar-Navigation "
"index.body.dis1.text1_0"," "
"page1.t1_0","#{layout.H4_START} Soziodemografische Merkmale #{layout.H4_END} "
"page1.intro1_0","#{layout.BREAK} Kommen wir nun zu einer Reihe von soziodemografischen Fragen. #{layout.BREAK}#{layout.BREAK}#{layout.BREAK} "
"page1.b.oq1.q_0","Wie alt sind Sie? "
"page1.b.oq1.ins_0","Bitte tragen Sie Ihr derzeitiges Alter in Jahren in das untenstehende Feld ein. #{layout.BREAK} #{layout.BREAK} "
"page1.b.oq1.l1_0","Ich bin "
"page1.b.oq1.l2_0"," Jahre alt."
"page1.b.sw.t_0"," #{layout.BREAK}#{layout.WARNING_START}Für die Auswertung der Daten ist es unerlässlich, dass Sie diese Frage beantworten. Anderenfalls kann die Befragung nicht fortgesetzt werden.#{layout.WARNING_END} "
"page1.b.sw.bb.mc.rd.ao1.label","Ich möchte die Befragung nicht fortsetzen."
"page1.b.section.text_0","#{layout.SOURCECODE_START}#{layout.BREAK}#{layout.BREAK} Anschauungsbeispiel: harte Antwortforcierung #{layout.BREAK} #{layout.SOURCECODE_END} "
"page2.body.SingleChoice1.question1_0"," Welches Geschlecht haben Sie? "
"page2.body.SingleChoice1.instruction1_0"," Bitte wählen Sie die auf Sie zutreffende Antwortoption. "
"page2.body.SingleChoice1.rdc.ao1.label","weiblich"
"page2.body.SingleChoice1.rdc.ao2.label","männlich"
"page2.body.SingleChoice1.rdc.ao3.label","Ich kann mich keinem der beiden Geschlechter zuordnen."
"page2.body.sw.t_0"," #{layout.BREAK}#{layout.WARNING_START} Für die Auswertung der Daten ist es wichtig, dass Sie diese Frage beantworten. #{layout.WARNING_END} "
"page2.body.sw.bb.mc.rd.ao1.label","Ich möchte diese Frage überspringen."
"page2.body.section.text_0","#{layout.SOURCECODE_START}#{layout.BREAK}#{layout.BREAK} Anschauungsbeispiel: weiche Antwortforcierung #{layout.BREAK} #{layout.SOURCECODE_END} "
"page3.body.matrix.q_0","Wie wichtig sind die folgenden Kenntnisse und Fähigkeiten für Ihre derzeitige (bzw., wenn Sie nicht berufstätg sind, voraussichtliche) berufliche Tätigkeit (linke Spalte)? In welchem Maße verfügten Sie bei Ihrem Abschluss des Studiums über diese Kenntnisse und Fähigkeiten (rechte Spalte)? #{layout.BREAK}#{layout.BREAK}#{layout.BREAK} "
"page3.body.matrix.rd.ls_0","Wichtigkeit für die berufliche Tätigkeit "
"page3.body.matrix.rd.rs_0","bei Studenabschluss vorhanden "
"page3.body.matrix.rd.lh1_0","sehr#{layout.BREAK} wichtig "
"page3.body.matrix.rd.lh5_0","unwichtig"
"page3.body.matrix.rd.rh1_0","in #{layout.BREAK}hohem#{layout.BREAK} Maße "
"page3.body.matrix.rd.rh5_0","in #{layout.BREAK}geringem#{layout.BREAK} Maße "
"page3.body.matrix.rd.lm1_0","weiß#{layout.BREAK} nicht "
"page3.body.matrix.rd.rm1_0","weiß #{layout.BREAK}nicht "
"page3.body.matrix.rd.i1.q_0","Spezielles Fachwissen "
"page3.body.matrix.rd.i3.q_0","Kenntnis wissenschaftlicher Methoden "
"page3.body.matrix.rd.i5.q_0","Kommunikationsfähigkeit "
"page3.body.matrix.rd.i6.q_0","Verhandlungsgeschick "
"page3.body.section.text_0","#{layout.SOURCECODE_START}#{layout.BREAK}#{layout.BREAK} Anschauungsbeispiel: Randomisierte Zuweisung von Fragen (Route 1)#{layout.BREAK} #{layout.SOURCECODE_END} "
"page4.body.matrix.q_0","Wie wichtig sind die folgenden Kenntnisse und Fähigkeiten für Ihre derzeitige (bzw., wenn Sie nicht berufstätg sind, voraussichtliche) berufliche Tätigkeit (linke Spalte)? In welchem Maße verfügten Sie bei Ihrem Abschluss des Studiums über diese Kenntnisse und Fähigkeiten (rechte Spalte)? #{layout.BREAK}#{layout.BREAK}#{layout.BREAK} "
"page4.body.matrix.rd.ls_0","Wichtigkeit für die berufliche Tätigkeit "
"page4.body.matrix.rd.rs_0","bei Studenabschluss vorhanden "
"page4.body.matrix.rd.lh1_0","sehr#{layout.BREAK} wichtig "
"page4.body.matrix.rd.lh5_0","unwichtig"
