"key","de"
"index.t1_0","#{layout.H4_START} Herzlich Willkommen im Zofar Showroom #{layout.H4_END} "
"index.t2_0"," #{layout.P_START} Dies ist eine interaktive Einführung in das Onlinebefragungssystem Zofar. Sie wurde erstellt, um den interessierten Nutzerinnen und Nutzern zu zeigen, welche Möglichkeiten der Erstellung von Onlinebefragungen es mit Zofar gibt. Hierfür können Sie sich mittels der Navigatoren am linken Seitenrand durch die einzelnen Aspekte der Umsetzung von Fragebogeninhalten klicken. #{layout.BREAK} #{layout.BREAK} Dieser Showroom enthält Erklärungen sowohl in Textform als auch in Form von dynamischen Anschauungsbeispielen, die Ihnen mögliche Lösungen des Befragungssystems visualisieren. Außerdem finden Sie darin Empfehlungen aus der Fachliteratur samt entsprechender Referenzen. #{layout.BREAK}#{layout.BREAK} Sollten Sie zum ersten Mal im Zofar Showroom sein, empfehlen wir Ihnen fortzufahren mit: #{layout.BREAK} #{layout.UNORDEREDLIST_START} #{layout.LIST_ITEM_START} "
"index.t2_1","Hintergrundinformationen"
"index.t2_2"," zum Onlinebefragungssystem Zofar #{layout.LIST_ITEM_START} einer Einführung in die "
"index.t2_3","Logik der Onlinebefragung"
"index.t2_4"," #{layout.LIST_ITEM_START} Übersicht über die relevanten "
"index.t2_5","Fehlerquellen"
"index.t2_6"," #{layout.LIST_ITEM_END} #{UNORDEREDLIST_END} #{layout.P_END} "
"index_hintergrundinformationen.t1_0","#{layout.H4_START} Hintergrundinformationen zum Onlinebefragungssystem Zofar #{layout.H4_END} "
"index_hintergrundinformationen.t2_0"," #{layout.BREAK}#{layout.BREAK} #{layout.P_START} #{layout.image('resources/images/serveimage.png','serveimage.png')} #{layout.BREAK} #{layout.SHOW_START}An dieser Seite wird noch gearbeitet…#{layout.SHOW_END} #{layout.BREAK}#{layout.BREAK} #{layout.P_END} "
"index_logik.t1_0","#{layout.H4_START} Logik der Online-Befragung #{layout.H4_END} "
"index_logik.t2_0"," #{layout.BREAK}#{layout.BREAK} #{layout.P_START} #{layout.image('resources/images/serveimage.png','serveimage.png')} #{layout.BREAK} #{layout.SHOW_START}An dieser Seite wird noch gearbeitet…#{layout.SHOW_END} #{layout.BREAK}#{layout.BREAK} #{layout.P_END} "
"index_fehlerquellen.t1_0","#{layout.H4_START} Fehlerquellen #{layout.H4_END} "
"index_fehlerquellen.t2_0"," #{layout.BREAK}#{layout.BREAK} #{layout.P_START} #{layout.image('resources/images/serveimage.png','serveimage.png')} #{layout.BREAK} #{layout.SHOW_START}An dieser Seite wird noch gearbeitet…#{layout.SHOW_END} #{layout.BREAK}#{layout.BREAK} #{layout.P_END} "
"index_fehlerquellen_coverage_error.t1_0","#{layout.H4_START} Coverage Error #{layout.H4_END} "
"index_fehlerquellen_coverage_error.t2_0","#{layout.BREAK}#{layout.BREAK} #{layout.P_START} #{layout.image('resources/images/serveimage.png','serveimage.png')} #{layout.BREAK} #{layout.SHOW_START}An dieser Seite wird noch gearbeitet…#{layout.SHOW_END} #{layout.BREAK}#{layout.BREAK} #{layout.P_END} "
"index_fehlerquellen_nonresponse_error.t1_0","#{layout.H4_START} Response Error #{layout.H4_END} "
"index_fehlerquellen_nonresponse_error.t2_0","#{layout.BREAK}#{layout.BREAK} #{layout.P_START} #{layout.image('resources/images/serveimage.png','serveimage.png')} #{layout.BREAK} #{layout.SHOW_START}An dieser Seite wird noch gearbeitet…#{layout.SHOW_END} #{layout.BREAK}#{layout.BREAK} #{layout.P_END} "
"index_fehlerquellen_measurement_error.t1_0","#{layout.H4_START} Measurement Error #{layout.H4_END} "
"index_fehlerquellen_measurement_error.t2_0","#{layout.BREAK}#{layout.BREAK} #{layout.P_START} #{layout.image('resources/images/serveimage.png','serveimage.png')} #{layout.BREAK} #{layout.SHOW_START}An dieser Seite wird noch gearbeitet…#{layout.SHOW_END} #{layout.BREAK}#{layout.BREAK} #{layout.P_END} "
"pretest_start.t1_0","#{layout.H4_START} Pretest #{layout.H4_END} "
"pretest_start.t2_0","#{layout.BREAK}#{layout.BREAK} #{layout.P_START} #{layout.image('resources/images/serveimage.png','serveimage.png')} #{layout.BREAK} #{layout.SHOW_START}An dieser Seite wird noch gearbeitet…#{layout.SHOW_END} #{layout.BREAK}#{layout.BREAK} #{layout.P_END} "
"zugang_start.t1_0","#{layout.H4_START} Zugang zur Befragung #{layout.H4_END} "
"zugang_start.t2_0"," #{layout.BREAK}#{layout.BREAK} #{layout.P_START} #{layout.image('resources/images/serveimage.png','serveimage.png')} #{layout.BREAK} #{layout.SHOW_START}An dieser Seite wird noch gearbeitet…#{layout.SHOW_END} #{layout.BREAK}#{layout.BREAK} #{layout.P_END} "
"zugang_einladung.t1_0","#{layout.H4_START} Einladung zur Befragung #{layout.H4_END} "
"zugang_einladung.t2_0"," #{layout.BREAK}#{layout.BREAK} #{layout.P_START} #{layout.image('resources/images/serveimage.png','serveimage.png')} #{layout.BREAK} #{layout.SHOW_START}An dieser Seite wird noch gearbeitet…#{layout.SHOW_END} #{layout.BREAK}#{layout.BREAK} #{layout.P_END} "
"zugang_login.t1_0","#{layout.H4_START} Login-Methoden #{layout.H4_END} "
"zugang_login.t2_0"," #{layout.BREAK}#{layout.BREAK} #{layout.P_START} #{layout.image('resources/images/serveimage.png','serveimage.png')} #{layout.BREAK} #{layout.SHOW_START}An dieser Seite wird noch gearbeitet…#{layout.SHOW_END} #{layout.BREAK}#{layout.BREAK} #{layout.P_END} "
"aufbau_start.t1_0","#{layout.H4_START} Aufbau des Fragebogens #{layout.H4_END} "
"aufbau_start.t2_0"," #{layout.BREAK}#{layout.BREAK} #{layout.P_START} #{layout.image('resources/images/serveimage.png','serveimage.png')} #{layout.BREAK} #{layout.SHOW_START}An dieser Seite wird noch gearbeitet…#{layout.SHOW_END} #{layout.BREAK}#{layout.BREAK} #{layout.P_END} "
"aufbau_befragungsinformation.t1_0","#{layout.H4_START} Informationen zur Befragung #{layout.H4_END} "
"aufbau_befragungsinformation.t2_0"," #{layout.BREAK}#{layout.BREAK} #{layout.P_START} #{layout.image('resources/images/serveimage.png','serveimage.png')} #{layout.BREAK} #{layout.SHOW_START}An dieser Seite wird noch gearbeitet…#{layout.SHOW_END} #{layout.BREAK}#{layout.BREAK} #{layout.P_END} "
"aufbau_anleitung.t1_0","#{layout.H4_START} Anleitung zur Beantwortung des Fragebogens #{layout.H4_END} "
